214.499   0.999
214.687   1.105
214.871   1.209
215.055   1.311
215.243   1.415
215.431   1.519
215.619   1.621
215.807   1.723
215.995   1.825
216.183   1.927
216.371   2.029
216.563   2.129
216.755   2.229
216.943   2.331
217.135   2.429
217.327   2.529
217.523   2.629
217.715   2.727
217.907   2.825
218.103   2.923
218.299   3.021
218.491   3.119
218.687   3.215
218.883   3.313
219.083   3.409
219.279   3.503
219.475   3.599
219.675   3.693
219.875   3.789
220.071   3.883
220.271   3.975
220.471   4.069
220.675   4.161
220.875   4.253
221.075   4.345
221.279   4.437
221.483   4.529
221.687   4.619
221.887   4.709
222.095   4.799
222.299   4.887
222.503   4.975
222.707   5.065
222.915   5.151
223.123   5.239
223.327   5.325
223.535   5.413
223.743   5.497
223.955   5.583
224.163   5.667
224.371   5.753
224.583   5.837
224.791   5.919
225.003   6.003
225.215   6.085
225.427   6.167
225.639   6.247
225.851   6.329
226.067   6.409
226.279   6.487
226.495   6.567
226.707   6.645
226.923   6.723
227.139   6.801
227.355   6.877
227.571   6.955
227.787   7.031
228.007   7.105
228.223   7.181
228.443   7.255
228.659   7.327
228.879   7.401
229.099   7.473
229.319   7.545
229.539   7.617
229.759   7.687
229.983   7.757
230.203   7.827
230.427   7.895
230.647   7.963
230.871   8.031
231.095   8.097
231.319   8.165
231.543   8.231
231.767   8.295
231.991   8.359
232.215   8.423
232.443   8.487
232.667   8.549
232.895   8.611
233.123   8.673
233.347   8.735
233.575   8.795
233.803   8.853
234.031   8.913
234.259   8.971
234.491   9.029
234.719   9.085
234.947   9.141
235.179   9.197
235.411   9.251
235.639   9.305
235.871   9.359
236.103   9.413
236.335   9.465
236.567   9.515
236.799   9.567
237.031   9.617
237.263   9.667
237.499   9.715
237.731   9.763
237.967   9.811
238.199   9.857
238.435   9.903
238.671   9.949
238.903   9.993
239.139  10.037
239.375  10.079
239.611  10.123
239.847  10.163
240.083  10.205
240.319  10.245
240.559  10.285
240.795  10.323
241.031  10.361
241.271  10.399
241.507  10.435
241.747  10.471
241.983  10.507
242.223  10.541
242.463  10.575
242.703  10.607
242.939  10.639
243.179  10.671
243.419  10.703
243.659  10.733
243.899  10.761
244.139  10.789
244.383  10.817
244.623  10.845
244.863  10.871
245.103  10.897
245.343  10.921
245.587  10.945
245.827  10.967
246.071  10.991
246.311  11.013
246.555  11.033
246.795  11.053
247.039  11.073
247.279  11.091
247.523  11.109
247.763  11.127
248.007  11.143
248.251  11.157
248.495  11.173
248.735  11.187
248.979  11.199
249.223  11.213
249.467  11.223
249.707  11.235
249.951  11.245
250.195  11.255
250.439  11.263
250.683  11.271
250.927  11.277
251.171  11.283
251.415  11.289
251.659  11.295
251.903  11.299
252.143  11.301
252.387  11.303
252.631  11.305
252.875  11.305
253.119  11.305
253.363  11.305
253.607  11.303
253.851  11.301
254.095  11.299
254.339  11.295
254.583  11.289
254.827  11.285
255.071  11.277
255.315  11.271
255.559  11.263
255.799  11.255
256.043  11.245
256.287  11.235
256.531  11.225
256.775  11.213
257.019  11.201
257.259  11.187
257.503  11.173
257.747  11.159
257.991  11.143
258.231  11.127
258.475  11.109
258.715  11.091
258.959  11.073
259.203  11.053
259.443  11.033
259.687  11.013
259.927  10.991
260.167  10.969
260.411  10.945
260.651  10.921
260.891  10.897
261.135  10.871
261.375  10.845
261.615  10.817
261.855  10.791
262.095  10.761
262.335  10.733
262.575  10.703
262.815  10.671
263.055  10.641
263.295  10.609
263.535  10.575
263.771  10.541
264.011  10.507
264.251  10.471
264.487  10.437
264.727  10.399
264.963  10.363
265.203  10.323
265.439  10.285
265.675  10.245
265.911  10.205
266.151  10.165
266.387  10.123
266.623  10.081
266.855  10.037
267.091   9.993
267.327   9.949
267.563   9.903
267.795   9.857
268.031   9.811
268.267   9.763
268.499   9.715
268.731   9.667
268.967   9.617
269.199   9.567
269.431   9.517
269.663   9.465
269.895   9.413
270.127   9.361
270.355   9.307
270.587   9.253
270.819   9.197
271.047   9.143
271.279   9.085
271.507   9.029
271.735   8.971
271.963   8.913
272.191   8.855
272.419   8.795
272.647   8.735
272.875   8.675
273.103   8.613
273.327   8.551
273.555   8.489
273.779   8.425
274.007   8.361
274.231   8.297
274.455   8.231
274.679   8.165
274.903   8.099
275.127   8.031
275.351   7.965
275.571   7.897
275.795   7.827
276.015   7.757
276.235   7.687
276.459   7.617
276.679   7.545
276.899   7.475
277.119   7.401
277.335   7.329
277.555   7.255
277.775   7.181
277.991   7.107
278.207   7.031
278.427   6.955
278.643   6.879
278.859   6.803
279.075   6.725
279.287   6.647
279.503   6.569
279.719   6.489
279.931   6.409
280.143   6.329
280.359   6.249
280.571   6.167
280.783   6.085
280.995   6.003
281.203   5.921
281.415   5.837
281.627   5.753
281.835   5.669
282.043   5.585
282.251   5.499
282.459   5.413
282.667   5.327
282.875   5.241
283.083   5.153
283.287   5.065
283.495   4.977
283.699   4.889
283.903   4.799
284.107   4.709
284.311   4.619
284.515   4.529
284.719   4.439
284.919   4.347
285.123   4.255
285.323   4.163
285.523   4.071
285.723   3.977
285.923   3.883
286.123   3.789
286.323   3.695
286.519   3.601
286.719   3.505
286.915   3.409
287.111   3.313
287.307   3.217
287.503   3.121
287.699   3.023
287.895   2.925
288.087   2.827
288.283   2.729
288.475   2.631
288.667   2.531
288.859   2.431
289.051   2.331
289.243   2.231
289.435   2.131
289.623   2.029
289.815   1.929
290.003   1.827
290.191   1.725
290.379   1.623
290.567   1.519
290.755   1.417
290.939   1.313
291.127   1.209
291.311   1.105
291.499   1.001
291.683   0.897
214.395   1.185
214.579   1.289
214.767   1.395
214.951   1.499
215.139   1.603
215.327   1.705
